PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5 
0.059,0.176,0.765,0.294,0.471,0.412,0.0,0.118,0.176,0.059,0.765,0.588,0.059,0.353,0.118,0.118,0.294,0.529,0.176,0.588,0.176,0.235,0.353,0.647,0.353,0.094,-1.009,0.361,-0.649,-0.256
0.059,0.118,0.824,0.294,0.471,0.176,0.0,0.294,0.118,0.059,0.824,0.529,0.118,0.412,0.235,0.059,0.118,0.529,0.353,0.529,0.176,0.235,0.294,0.529,0.471,-0.216,0.442,0.349,0.099,-0.555
0.176,0.235,0.588,0.118,0.471,0.294,0.059,0.0,0.235,0.176,0.588,0.588,0.235,0.235,0.0,0.294,0.647,0.176,0.176,0.353,0.412,0.235,0.176,0.412,0.588,0.167,-0.272,0.112,-0.093,-0.108
0.0,0.118,0.882,0.294,0.588,0.471,0.059,0.059,0.118,0.0,0.882,0.706,0.059,0.294,0.176,0.176,0.353,0.412,0.235,0.471,0.176,0.412,0.353,0.706,0.294,-0.434,-1.126,0.317,-0.515,0.086
0.118,0.059,0.824,0.294,0.471,0.353,0.059,0.294,0.059,0.118,0.824,0.412,0.235,0.235,0.059,0.0,0.235,0.471,0.294,0.412,0.294,0.353,0.118,0.353,0.647,-0.846,0.284,-0.023,-0.184,-0.107
0.0,0.059,0.941,0.353,0.588,0.353,0.059,0.176,0.059,0.0,0.941,0.471,0.059,0.529,0.294,0.118,0.235,0.235,0.529,0.412,0.118,0.529,0.471,0.647,0.353,-0.122,-0.775,0.615,-0.247,0.023
0.059,0.118,0.824,0.353,0.353,0.235,0.059,0.118,0.118,0.059,0.824,0.353,0.235,0.353,0.0,0.118,0.588,0.176,0.235,0.176,0.588,0.294,0.0,0.235,0.765,-0.142,0.453,-0.318,-0.546,-0.043
0.0,0.059,0.941,0.294,0.647,0.471,0.059,0.118,0.059,0.0,0.941,0.765,0.059,0.471,0.294,0.059,0.235,0.471,0.294,0.529,0.118,0.412,0.353,0.765,0.235,-0.316,-1.316,0.108,-0.401,0.118
0.235,0.059,0.706,0.294,0.412,0.294,0.0,0.176,0.059,0.235,0.706,0.412,0.235,0.412,0.176,0.0,0.529,0.294,0.176,0.412,0.235,0.294,0.176,0.294,0.706,-0.032,-0.126,-0.737,0.024,-0.065
0.294,0.176,0.529,0.235,0.176,0.176,0.059,0.0,0.176,0.294,0.529,0.294,0.471,0.353,0.118,0.118,0.353,0.176,0.471,0.235,0.412,0.176,0.294,0.706,0.294,2.345,0.248,0.096,-0.175,-0.203
0.059,0.176,0.765,0.176,0.588,0.412,0.176,0.118,0.176,0.059,0.765,0.706,0.235,0.294,0.059,0.118,0.471,0.294,0.235,0.412,0.412,0.353,0.118,0.471,0.529,-0.674,0.056,0.375,0.072,0.162
0.118,0.176,0.706,0.294,0.353,0.294,0.059,0.118,0.176,0.118,0.706,0.412,0.235,0.471,0.176,0.059,0.176,0.412,0.412,0.353,0.412,0.294,0.235,0.647,0.353,0.743,-0.554,0.19,-0.724,-0.184
0.059,0.176,0.765,0.529,0.176,0.059,0.0,0.353,0.176,0.059,0.765,0.235,0.118,0.471,0.176,0.059,0.235,0.471,0.294,0.235,0.294,0.412,0.235,0.412,0.588,0.491,0.568,0.406,-0.746,-0.593
0.0,0.059,0.941,0.294,0.588,0.353,0.059,0.176,0.059,0.0,0.941,0.588,0.118,0.353,0.176,0.118,0.471,0.235,0.294,0.412,0.235,0.412,0.235,0.412,0.588,-0.917,-0.239,0.119,-0.252,-0.027
0.235,0.118,0.647,0.412,0.176,0.176,0.0,0.118,0.118,0.235,0.647,0.294,0.294,0.353,0.235,0.059,0.471,0.294,0.235,0.235,0.294,0.353,0.294,0.471,0.529,1.055,0.028,-0.394,-0.432,-0.217
0.235,0.118,0.647,0.235,0.412,0.412,0.059,0.059,0.118,0.235,0.647,0.529,0.294,0.235,0.118,0.059,0.412,0.471,0.118,0.412,0.235,0.353,0.176,0.412,0.588,0.008,-0.423,-0.429,-0.064,0.001
0.059,0.176,0.765,0.412,0.353,0.353,0.0,0.118,0.176,0.059,0.765,0.529,0.059,0.353,0.118,0.118,0.294,0.588,0.118,0.471,0.235,0.235,0.235,0.471,0.529,-0.082,-0.591,-0.149,-0.862,-0.305
0.059,0.059,0.882,0.353,0.529,0.294,0.059,0.235,0.059,0.059,0.882,0.588,0.118,0.294,0.176,0.118,0.529,0.294,0.176,0.353,0.176,0.529,0.235,0.353,0.647,-0.964,0.22,0.172,0.3,-0.021
0.294,0.118,0.588,0.235,0.118,0.118,0.0,0.059,0.118,0.294,0.588,0.059,0.529,0.353,0.118,0.0,0.353,0.118,0.529,0.118,0.471,0.294,0.176,0.529,0.471,2.152,0.773,-0.059,-0.117,-0.258
0.059,0.118,0.824,0.412,0.353,0.235,0.059,0.118,0.118,0.059,0.824,0.529,0.176,0.412,0.176,0.118,0.294,0.412,0.294,0.412,0.412,0.235,0.294,0.647,0.353,0.468,-0.259,0.418,-0.522,-0.164
0.118,0.176,0.706,0.235,0.353,0.294,0.0,0.176,0.176,0.118,0.706,0.353,0.235,0.353,0.059,0.0,0.412,0.353,0.235,0.353,0.353,0.235,0.118,0.353,0.647,0.336,0.185,-0.238,-0.617,-0.239
0.0,0.0,1.0,0.294,0.647,0.471,0.0,0.294,0.0,0.0,1.0,0.706,0.059,0.118,0.059,0.059,0.412,0.529,0.059,0.588,0.118,0.294,0.059,0.294,0.706,-2.312,-0.212,-0.458,-0.375,-0.182
0.235,0.0,0.765,0.0,0.765,0.647,0.0,0.118,0.0,0.235,0.765,0.647,0.235,0.118,0.0,0.0,0.588,0.294,0.118,0.765,0.059,0.118,0.294,0.412,0.588,-0.878,-0.754,-0.621,0.5,0.235
0.059,0.118,0.824,0.529,0.235,0.176,0.0,0.059,0.118,0.059,0.824,0.294,0.118,0.647,0.294,0.059,0.353,0.235,0.412,0.294,0.353,0.353,0.353,0.588,0.412,1.166,-0.349,0.23,-0.739,-0.033
0.294,0.059,0.647,0.118,0.471,0.294,0.0,0.235,0.059,0.294,0.647,0.353,0.353,0.235,0.059,0.0,0.471,0.294,0.235,0.471,0.294,0.118,0.235,0.353,0.647,0.262,0.374,-0.672,0.411,-0.265
0.118,0.176,0.706,0.118,0.471,0.412,0.059,0.059,0.176,0.118,0.706,0.471,0.294,0.235,0.059,0.059,0.235,0.353,0.412,0.353,0.471,0.235,0.118,0.647,0.353,0.156,-0.263,-0.039,-0.575,0.096
0.176,0.118,0.706,0.235,0.353,0.118,0.118,0.294,0.118,0.176,0.706,0.471,0.412,0.176,0.0,0.118,0.353,0.412,0.235,0.353,0.471,0.176,0.118,0.353,0.647,0.138,1.032,0.394,-0.017,-0.491
0.059,0.353,0.588,0.235,0.353,0.294,0.0,0.059,0.353,0.059,0.588,0.529,0.059,0.412,0.059,0.176,0.412,0.294,0.294,0.529,0.353,0.059,0.353,0.588,0.412,0.838,-0.257,0.787,-0.818,-0.118
0.353,0.059,0.588,0.235,0.294,0.118,0.0,0.235,0.059,0.353,0.588,0.353,0.412,0.118,0.059,0.118,0.471,0.353,0.176,0.294,0.118,0.471,0.118,0.294,0.706,0.224,1.13,0.107,1.129,-0.478
0.118,0.118,0.765,0.412,0.235,0.118,0.0,0.176,0.118,0.118,0.765,0.412,0.235,0.471,0.235,0.118,0.118,0.471,0.412,0.353,0.294,0.294,0.294,0.706,0.294,1.128,-0.133,0.468,-0.398,-0.697
0.294,0.118,0.588,0.235,0.294,0.118,0.059,0.176,0.118,0.294,0.588,0.353,0.412,0.294,0.059,0.118,0.471,0.294,0.235,0.353,0.412,0.176,0.235,0.353,0.647,0.978,0.764,0.039,0.504,-0.464
0.118,0.0,0.882,0.235,0.588,0.529,0.118,0.118,0.0,0.118,0.882,0.647,0.294,0.118,0.118,0.059,0.294,0.471,0.235,0.412,0.176,0.412,0.176,0.471,0.529,-0.923,-0.331,-0.476,-0.064,0.119
0.235,0.118,0.647,0.235,0.353,0.235,0.059,0.235,0.118,0.235,0.647,0.353,0.353,0.294,0.059,0.0,0.471,0.353,0.176,0.294,0.353,0.353,0.059,0.235,0.765,0.064,0.688,-0.335,0.214,-0.233
0.059,0.059,0.882,0.294,0.588,0.471,0.118,0.118,0.059,0.059,0.882,0.647,0.176,0.353,0.176,0.059,0.412,0.294,0.294,0.412,0.294,0.412,0.235,0.529,0.471,-0.652,-0.555,-0.062,-0.187,0.336
0.118,0.059,0.824,0.235,0.471,0.412,0.118,0.059,0.059,0.118,0.824,0.588,0.353,0.235,0.176,0.059,0.353,0.294,0.353,0.294,0.353,0.471,0.176,0.647,0.353,-0.015,-0.351,0.102,-0.176,0.178
0.118,0.118,0.765,0.353,0.294,0.235,0.0,0.059,0.118,0.118,0.765,0.471,0.235,0.412,0.294,0.059,0.294,0.471,0.235,0.235,0.294,0.471,0.118,0.412,0.588,0.186,-0.399,-0.434,-0.678,-0.27
0.176,0.059,0.765,0.176,0.529,0.412,0.0,0.059,0.059,0.176,0.765,0.647,0.235,0.235,0.118,0.118,0.412,0.471,0.118,0.529,0.176,0.176,0.176,0.471,0.529,-0.246,-0.762,-0.741,-0.238,-0.276
0.235,0.0,0.765,0.176,0.529,0.294,0.0,0.235,0.0,0.235,0.765,0.647,0.294,0.0,0.0,0.176,0.412,0.529,0.059,0.588,0.294,0.118,0.118,0.294,0.706,-1.298,0.251,-0.361,0.623,-0.589
0.0,0.176,0.824,0.176,0.588,0.471,0.118,0.176,0.176,0.0,0.824,0.412,0.176,0.471,0.0,0.0,0.353,0.176,0.471,0.471,0.471,0.176,0.294,0.588,0.412,0.325,-0.266,0.498,-0.578,0.211
0.118,0.176,0.706,0.059,0.647,0.588,0.0,0.059,0.176,0.118,0.706,0.647,0.118,0.294,0.059,0.0,0.353,0.529,0.118,0.647,0.176,0.059,0.059,0.412,0.588,-0.869,-0.953,-1.133,-0.804,0.052
0.176,0.235,0.588,0.235,0.353,0.294,0.176,0.118,0.235,0.176,0.588,0.412,0.353,0.412,0.176,0.0,0.353,0.235,0.412,0.176,0.412,0.529,0.118,0.471,0.529,0.486,0.389,0.332,-0.255,0.409
0.059,0.118,0.824,0.353,0.471,0.294,0.118,0.118,0.118,0.059,0.824,0.412,0.176,0.471,0.118,0.118,0.471,0.176,0.353,0.235,0.471,0.412,0.176,0.353,0.647,-0.146,-0.069,0.034,-0.431,0.282
0.235,0.059,0.706,0.176,0.529,0.353,0.118,0.176,0.059,0.235,0.706,0.471,0.353,0.235,0.118,0.059,0.353,0.294,0.353,0.353,0.353,0.412,0.176,0.412,0.588,-0.465,0.136,-0.066,0.427,0.185
0.118,0.235,0.647,0.118,0.529,0.412,0.176,0.176,0.235,0.118,0.647,0.471,0.294,0.353,0.0,0.059,0.353,0.235,0.412,0.412,0.529,0.235,0.235,0.529,0.471,0.209,-0.007,0.576,-0.248,0.157
0.118,0.118,0.765,0.294,0.353,0.294,0.059,0.059,0.118,0.118,0.765,0.647,0.294,0.235,0.118,0.176,0.353,0.471,0.176,0.471,0.353,0.176,0.235,0.588,0.412,0.33,-0.353,0.179,-0.335,-0.561
0.294,0.235,0.471,0.118,0.353,0.353,0.0,0.118,0.235,0.294,0.471,0.294,0.294,0.294,0.0,0.0,0.471,0.353,0.176,0.353,0.353,0.235,0.059,0.294,0.706,0.409,0.079,-0.652,-0.181,-0.022
0.059,0.059,0.882,0.176,0.647,0.471,0.118,0.176,0.059,0.059,0.882,0.529,0.235,0.412,0.118,0.0,0.235,0.353,0.412,0.529,0.353,0.235,0.235,0.588,0.412,-0.358,-0.611,-0.004,-0.344,0.012
0.176,0.0,0.824,0.412,0.412,0.118,0.059,0.353,0.0,0.176,0.824,0.471,0.235,0.294,0.235,0.118,0.235,0.471,0.294,0.353,0.059,0.529,0.294,0.412,0.588,-0.386,0.854,0.333,0.894,-0.528
0.294,0.0,0.706,0.294,0.353,0.235,0.0,0.176,0.0,0.294,0.706,0.412,0.353,0.235,0.176,0.059,0.471,0.353,0.176,0.294,0.176,0.471,0.176,0.353,0.647,0.115,0.092,-0.462,0.432,-0.214
0.176,0.176,0.647,0.294,0.235,0.118,0.0,0.059,0.176,0.176,0.647,0.471,0.294,0.353,0.176,0.176,0.353,0.412,0.235,0.294,0.353,0.235,0.176,0.529,0.471,1.038,-0.049,-0.064,-0.502,-0.576
0.176,0.176,0.647,0.176,0.353,0.118,0.059,0.294,0.176,0.176,0.647,0.353,0.353,0.235,0.059,0.059,0.353,0.353,0.294,0.235,0.471,0.353,0.059,0.294,0.706,-0.048,1.316,0.203,0.403,-0.472
0.294,0.059,0.647,0.235,0.412,0.235,0.0,0.059,0.059,0.294,0.647,0.529,0.294,0.235,0.118,0.176,0.647,0.294,0.059,0.353,0.176,0.353,0.176,0.294,0.706,0.149,0.067,-0.552,0.646,-0.176
0.059,0.059,0.882,0.412,0.412,0.353,0.059,0.059,0.059,0.059,0.882,0.765,0.176,0.118,0.059,0.353,0.294,0.529,0.176,0.588,0.176,0.235,0.294,0.529,0.471,-0.716,-0.609,0.691,-0.196,-0.711
0.0,0.0,1.0,0.647,0.294,0.294,0.118,0.118,0.0,0.0,1.0,0.706,0.176,0.294,0.294,0.235,0.0,0.706,0.294,0.412,0.176,0.529,0.353,0.765,0.235,-0.314,-0.848,0.847,-0.508,-0.618
0.235,0.235,0.529,0.0,0.529,0.353,0.0,0.176,0.235,0.235,0.529,0.471,0.235,0.294,0.0,0.0,0.647,0.235,0.118,0.529,0.412,0.0,0.118,0.235,0.765,-0.132,0.105,-0.689,-0.269,0.079
0.176,0.235,0.588,0.353,0.118,0.118,0.0,0.0,0.235,0.176,0.588,0.118,0.294,0.647,0.118,0.0,0.588,0.059,0.353,0.118,0.706,0.176,0.118,0.412,0.588,2.073,0.161,-0.345,-0.951,0.109
0.176,0.176,0.647,0.294,0.235,0.235,0.059,0.176,0.176,0.176,0.647,0.235,0.353,0.294,0.0,0.0,0.353,0.353,0.294,0.176,0.471,0.412,0.0,0.353,0.647,0.496,0.806,0.112,-0.174,-0.135
0.176,0.118,0.706,0.294,0.353,0.059,0.059,0.235,0.118,0.176,0.706,0.529,0.294,0.118,0.0,0.353,0.412,0.412,0.176,0.294,0.412,0.353,0.176,0.353,0.647,-0.247,0.52,0.75,0.355,-0.779
0.0,0.294,0.706,0.412,0.176,0.118,0.0,0.176,0.294,0.0,0.706,0.353,0.118,0.412,0.118,0.176,0.235,0.471,0.294,0.353,0.412,0.235,0.294,0.471,0.529,0.749,0.084,0.912,-1.189,-0.772
0.235,0.0,0.765,0.294,0.471,0.412,0.059,0.118,0.0,0.235,0.765,0.412,0.294,0.294,0.059,0.0,0.706,0.118,0.176,0.412,0.294,0.294,0.235,0.294,0.706,-0.02,-0.014,-0.484,0.229,0.448
0.176,0.0,0.824,0.176,0.647,0.471,0.235,0.059,0.0,0.176,0.824,0.706,0.412,0.235,0.176,0.118,0.353,0.294,0.353,0.294,0.353,0.588,0.118,0.588,0.412,-0.775,-0.456,-0.066,0.556,0.321
0.235,0.235,0.529,0.294,0.235,0.176,0.0,0.176,0.235,0.235,0.529,0.118,0.235,0.471,0.118,0.059,0.529,0.176,0.294,0.176,0.294,0.353,0.294,0.353,0.647,1.459,0.272,-0.354,-0.389,-0.218
0.235,0.0,0.765,0.353,0.412,0.294,0.059,0.176,0.0,0.235,0.765,0.588,0.294,0.294,0.235,0.0,0.412,0.471,0.118,0.353,0.235,0.412,0.118,0.412,0.588,-0.365,-0.134,-0.684,0.061,0.138
0.294,0.118,0.588,0.118,0.235,0.059,0.0,0.235,0.118,0.294,0.588,0.176,0.529,0.235,0.059,0.0,0.353,0.235,0.412,0.235,0.412,0.294,0.118,0.412,0.588,1.271,1.296,0.319,0.437,-0.561
0.118,0.059,0.824,0.353,0.471,0.235,0.059,0.176,0.059,0.118,0.824,0.529,0.176,0.294,0.176,0.176,0.471,0.294,0.235,0.235,0.176,0.529,0.176,0.412,0.588,-0.461,0.134,-0.152,0.081,-0.022
0.176,0.0,0.824,0.176,0.647,0.353,0.059,0.176,0.0,0.176,0.824,0.647,0.235,0.235,0.176,0.118,0.412,0.353,0.235,0.471,0.176,0.412,0.294,0.412,0.588,-0.755,-0.3,0.005,0.527,0.094
0.176,0.235,0.588,0.353,0.059,0.059,0.0,0.118,0.235,0.176,0.588,0.176,0.353,0.412,0.118,0.118,0.294,0.294,0.412,0.176,0.471,0.294,0.235,0.588,0.412,1.965,0.401,0.571,-0.606,-0.703
0.059,0.059,0.882,0.176,0.588,0.412,0.059,0.294,0.059,0.059,0.882,0.471,0.235,0.235,0.0,0.0,0.235,0.412,0.353,0.529,0.353,0.176,0.235,0.588,0.412,-0.362,0.146,0.227,-0.002,-0.261
0.0,0.059,0.941,0.353,0.529,0.412,0.0,0.059,0.059,0.0,0.941,0.824,0.059,0.118,0.059,0.353,0.353,0.588,0.059,0.647,0.118,0.235,0.235,0.412,0.588,-1.475,-0.983,0.287,-0.385,-0.765
0.118,0.0,0.882,0.471,0.353,0.353,0.118,0.059,0.0,0.118,0.882,0.412,0.294,0.353,0.118,0.176,0.294,0.294,0.412,0.412,0.412,0.294,0.471,0.647,0.353,0.766,-0.702,0.608,-0.251,-0.174
0.0,0.176,0.824,0.118,0.706,0.471,0.059,0.235,0.176,0.0,0.824,0.647,0.059,0.235,0.0,0.118,0.235,0.529,0.235,0.529,0.235,0.294,0.118,0.471,0.529,-1.374,-0.179,0.088,-0.095,-0.203
0.059,0.0,0.941,0.353,0.529,0.353,0.059,0.118,0.0,0.059,0.941,0.765,0.176,0.353,0.294,0.059,0.294,0.529,0.176,0.412,0.235,0.412,0.118,0.588,0.412,-0.799,-0.793,-0.439,-0.465,0.034
0.0,0.176,0.824,0.353,0.471,0.353,0.0,0.118,0.176,0.0,0.824,0.706,0.0,0.471,0.235,0.118,0.235,0.529,0.235,0.588,0.176,0.235,0.412,0.824,0.176,0.376,-1.132,0.57,-0.725,-0.195
0.294,0.235,0.471,0.118,0.353,0.294,0.0,0.0,0.235,0.294,0.471,0.412,0.294,0.353,0.059,0.118,0.529,0.235,0.235,0.353,0.294,0.118,0.176,0.471,0.529,1.276,-0.128,-0.678,-0.216,-0.024
0.118,0.118,0.765,0.412,0.353,0.294,0.0,0.118,0.118,0.118,0.765,0.471,0.118,0.471,0.176,0.0,0.471,0.412,0.118,0.353,0.353,0.235,0.118,0.353,0.647,0.051,-0.276,-0.82,-0.774,0.179
0.059,0.176,0.765,0.353,0.353,0.353,0.0,0.0,0.176,0.059,0.765,0.647,0.118,0.294,0.059,0.235,0.471,0.412,0.118,0.588,0.294,0.059,0.353,0.529,0.471,0.398,-0.794,0.372,-0.775,-0.416
0.0,0.118,0.882,0.353,0.471,0.353,0.118,0.235,0.118,0.0,0.882,0.471,0.176,0.471,0.118,0.0,0.294,0.412,0.294,0.353,0.412,0.353,0.118,0.412,0.588,-0.391,-0.181,-0.007,-0.792,-0.084
0.0,0.176,0.824,0.059,0.765,0.647,0.0,0.0,0.176,0.0,0.824,0.647,0.0,0.353,0.059,0.118,0.471,0.294,0.235,0.647,0.176,0.176,0.294,0.353,0.647,-0.973,-1.416,-0.342,-0.801,0.222
0.176,0.118,0.706,0.235,0.353,0.294,0.118,0.118,0.118,0.176,0.706,0.412,0.412,0.176,0.059,0.118,0.353,0.294,0.353,0.235,0.471,0.412,0.176,0.529,0.471,0.352,0.231,0.376,-0.032,-0.139
0.059,0.0,0.941,0.412,0.529,0.235,0.059,0.412,0.0,0.059,0.941,0.706,0.118,0.235,0.235,0.059,0.118,0.706,0.176,0.529,0.118,0.412,0.235,0.471,0.529,-1.468,0.287,0.335,0.201,-0.367
0.118,0.176,0.706,0.235,0.471,0.235,0.059,0.118,0.176,0.118,0.706,0.588,0.176,0.353,0.118,0.176,0.412,0.353,0.235,0.353,0.353,0.353,0.118,0.412,0.588,-0.311,0.152,0.179,0.145,-0.125
0.059,0.059,0.882,0.471,0.294,0.294,0.059,0.059,0.059,0.059,0.882,0.353,0.235,0.471,0.294,0.059,0.176,0.353,0.471,0.294,0.294,0.412,0.353,0.647,0.353,0.771,-0.534,0.111,-0.832,-0.159
0.059,0.0,0.941,0.353,0.588,0.529,0.059,0.176,0.0,0.059,0.941,0.647,0.118,0.235,0.176,0.059,0.353,0.412,0.235,0.588,0.118,0.353,0.353,0.529,0.471,-1.131,-0.764,-0.028,-0.194,0.062
0.294,0.0,0.706,0.235,0.471,0.412,0.0,0.059,0.0,0.294,0.706,0.471,0.294,0.235,0.059,0.059,0.471,0.412,0.118,0.529,0.176,0.118,0.235,0.412,0.588,0.261,-0.307,-1.014,0.336,-0.058
0.059,0.118,0.824,0.412,0.412,0.412,0.059,0.0,0.118,0.059,0.824,0.588,0.118,0.529,0.235,0.0,0.529,0.235,0.235,0.353,0.412,0.294,0.235,0.588,0.412,0.397,-0.846,-0.365,-0.895,0.653
0.235,0.176,0.588,0.294,0.294,0.118,0.0,0.176,0.176,0.235,0.588,0.412,0.235,0.529,0.294,0.0,0.235,0.412,0.353,0.294,0.294,0.294,0.176,0.529,0.471,0.938,0.172,-0.346,-0.278,-0.016
0.059,0.176,0.765,0.118,0.588,0.412,0.059,0.235,0.176,0.059,0.765,0.471,0.176,0.353,0.0,0.0,0.235,0.412,0.353,0.529,0.353,0.118,0.176,0.588,0.412,-0.069,0.054,0.062,-0.272,-0.156
0.176,0.059,0.765,0.294,0.412,0.294,0.059,0.118,0.059,0.176,0.765,0.529,0.294,0.353,0.118,0.118,0.294,0.412,0.294,0.471,0.235,0.235,0.235,0.588,0.412,0.506,-0.33,0.095,-0.062,-0.337
0.235,0.0,0.765,0.176,0.529,0.294,0.118,0.235,0.0,0.235,0.765,0.588,0.412,0.118,0.059,0.118,0.294,0.471,0.235,0.412,0.176,0.412,0.118,0.412,0.588,-0.565,0.754,0.036,1.208,-0.481
0.059,0.294,0.647,0.235,0.294,0.235,0.059,0.118,0.294,0.059,0.647,0.235,0.235,0.529,0.059,0.059,0.353,0.176,0.471,0.294,0.529,0.235,0.235,0.529,0.471,1.308,0.048,0.697,-0.945,-0.218
0.235,0.059,0.706,0.353,0.235,0.235,0.0,0.176,0.059,0.235,0.706,0.294,0.353,0.176,0.118,0.059,0.294,0.412,0.294,0.294,0.294,0.353,0.176,0.529,0.471,0.388,0.276,-0.178,-0.096,-0.404
0.118,0.235,0.647,0.412,0.235,0.176,0.0,0.235,0.235,0.118,0.647,0.176,0.118,0.529,0.118,0.0,0.353,0.294,0.353,0.235,0.353,0.353,0.176,0.353,0.647,0.668,0.502,0.081,-0.689,0.016
0.294,0.0,0.706,0.176,0.471,0.118,0.0,0.412,0.0,0.294,0.706,0.529,0.353,0.118,0.118,0.0,0.294,0.588,0.118,0.471,0.176,0.176,0.059,0.176,0.824,-0.866,1.428,-0.732,0.897,-0.518
0.0,0.176,0.824,0.353,0.353,0.235,0.0,0.176,0.176,0.0,0.824,0.294,0.118,0.529,0.176,0.118,0.176,0.294,0.529,0.353,0.294,0.353,0.412,0.706,0.294,1.046,-0.502,0.87,-0.845,-0.474
0.235,0.118,0.647,0.412,0.118,0.059,0.0,0.118,0.118,0.235,0.647,0.176,0.353,0.471,0.059,0.059,0.529,0.235,0.235,0.176,0.529,0.235,0.118,0.353,0.647,1.636,0.599,-0.17,-0.2,-0.311
0.059,0.176,0.765,0.353,0.294,0.235,0.059,0.118,0.176,0.059,0.765,0.412,0.235,0.471,0.235,0.0,0.353,0.294,0.353,0.235,0.471,0.353,0.118,0.529,0.471,0.415,-0.059,-0.075,-1.024,0.006
0.176,0.235,0.588,0.059,0.412,0.412,0.0,0.0,0.235,0.176,0.588,0.235,0.294,0.471,0.0,0.0,0.471,0.118,0.412,0.412,0.412,0.118,0.235,0.471,0.529,1.46,-0.396,-0.114,-0.579,-0.002
0.059,0.059,0.882,0.176,0.706,0.647,0.059,0.0,0.059,0.059,0.882,0.765,0.118,0.294,0.176,0.059,0.529,0.294,0.176,0.588,0.118,0.294,0.176,0.471,0.529,-1.304,-1.324,-0.804,-0.578,0.342
0.0,0.0,1.0,0.118,0.824,0.588,0.0,0.176,0.0,0.0,1.0,0.765,0.059,0.235,0.118,0.059,0.294,0.471,0.235,0.765,0.059,0.176,0.235,0.471,0.529,-1.811,-1.124,-0.29,-0.456,-0.038
0.0,0.235,0.765,0.235,0.471,0.235,0.059,0.176,0.235,0.0,0.765,0.588,0.118,0.412,0.176,0.118,0.235,0.353,0.412,0.412,0.353,0.294,0.235,0.588,0.412,-0.045,0.071,0.825,-0.598,-0.043
0.059,0.176,0.765,0.412,0.294,0.235,0.118,0.176,0.176,0.059,0.765,0.529,0.235,0.471,0.294,0.0,0.176,0.471,0.353,0.176,0.353,0.529,0.118,0.647,0.353,0.389,0.104,0.116,-0.612,-0.025
0.0,0.176,0.824,0.235,0.529,0.471,0.118,0.118,0.176,0.0,0.824,0.647,0.176,0.412,0.176,0.0,0.176,0.471,0.353,0.412,0.353,0.353,0.059,0.647,0.353,-0.555,-0.562,-0.075,-0.789,0.053
0.059,0.176,0.765,0.176,0.588,0.529,0.118,0.0,0.176,0.059,0.765,0.647,0.176,0.294,0.059,0.176,0.529,0.235,0.235,0.529,0.353,0.235,0.412,0.647,0.353,0.166,-1.178,0.441,-0.528,0.134
0.0,0.176,0.824,0.176,0.647,0.529,0.059,0.118,0.176,0.0,0.824,0.588,0.059,0.412,0.059,0.0,0.412,0.412,0.176,0.588,0.353,0.118,0.118,0.294,0.706,-1.081,-0.604,-0.553,-0.882,0.181
0.059,0.118,0.824,0.176,0.647,0.647,0.0,0.0,0.118,0.059,0.824,0.412,0.059,0.529,0.059,0.059,0.412,0.235,0.353,0.706,0.176,0.059,0.471,0.588,0.412,0.446,-1.85,-0.334,-0.874,-0.041
0.059,0.0,0.941,0.353,0.588,0.412,0.059,0.059,0.0,0.059,0.941,0.824,0.118,0.235,0.235,0.235,0.294,0.529,0.176,0.529,0.059,0.412,0.235,0.588,0.412,-1.195,-1.048,-0.088,-0.18,-0.214
0.059,0.059,0.882,0.353,0.471,0.353,0.059,0.059,0.059,0.059,0.882,0.706,0.176,0.412,0.294,0.118,0.294,0.471,0.235,0.412,0.235,0.412,0.294,0.706,0.294,0.109,-1.045,0.002,-0.38,-0.191
0.176,0.0,0.824,0.353,0.412,0.294,0.059,0.176,0.0,0.176,0.824,0.412,0.294,0.353,0.294,0.0,0.235,0.353,0.412,0.353,0.118,0.412,0.294,0.529,0.471,0.143,0.089,-0.379,-0.042,-0.048
0.294,0.118,0.588,0.294,0.294,0.294,0.0,0.176,0.118,0.294,0.588,0.235,0.294,0.294,0.059,0.0,0.471,0.294,0.235,0.294,0.235,0.353,0.176,0.353,0.647,0.605,0.374,-0.464,0.139,0.034
0.0,0.118,0.882,0.235,0.471,0.353,0.059,0.176,0.118,0.0,0.882,0.529,0.235,0.176,0.0,0.118,0.294,0.471,0.235,0.412,0.412,0.235,0.118,0.471,0.529,-0.504,0.001,0.206,-0.644,-0.475
0.235,0.235,0.529,0.294,0.235,0.118,0.0,0.059,0.235,0.235,0.529,0.235,0.235,0.471,0.118,0.118,0.529,0.176,0.294,0.118,0.471,0.294,0.118,0.353,0.647,1.19,0.372,-0.515,-0.394,0.103
